ID,Text,Label,Vulnerability Type,Timestamp
1,Malicious script execution attempt detected on /admin panel,1,Insider Threat,2024-09-21 14:00:00
2,Unauthorized login attempt detected from 203.0.113.5 to server 198.51.100.1,1,DDoS,2024-09-21 14:05:00
3,Failed SSH login attempt from IP 45.33.32.156 with multiple retries,1,Packet Flooding,2024-09-21 14:10:00
4,Suspicious login detected at an unusual hour from 192.168.1.101,0,None,2024-09-21 14:15:00
5,Unauthorized login attempt detected from 203.0.113.5 to server 198.51.100.1,1,Port Scanning,2024-09-21 14:20:00
6,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,Port Scanning,2024-09-21 14:25:00
7,Worm detected spreading through internal subnet 172.16.0.0/24,1,Data Exfiltration,2024-09-21 14:30:00
8,Detected ARP spoofing attempt on internal network from 192.168.10.2,1,Reconnaissance,2024-09-21 14:35:00
9,Exploit attempt detected using outdated library version on web service,0,None,2024-09-21 14:40:00
10,Standard GET request on port 80 from 172.16.0.5 to 172.16.0.7,1,Reconnaissance,2024-09-21 14:45:00
11,Unusually high bandwidth usage detected between internal servers,1,Ransomware,2024-09-21 14:50:00
12,"Incoming request on port 8080, multiple failed login attempts detected",1,Brute Force,2024-09-21 14:55:00
13,Unusual outbound traffic detected from internal server to external IP 54.38.212.1,1,DDoS,2024-09-21 15:00:00
14,Unauthorized login attempt detected from 203.0.113.5 to server 198.51.100.1,1,Packet Flooding,2024-09-21 15:05:00
15,Traffic spike on port 443 with unusual packet sizes from 162.243.58.60,1,Sensitive Data Leak,2024-09-21 15:10:00
16,Detected unauthorized software installation on company workstation,1,Reconnaissance,2024-09-21 15:15:00
17,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,SSL Vulnerability,2024-09-21 15:20:00
18,Worm detected spreading through internal subnet 172.16.0.0/24,0,None,2024-09-21 15:25:00
19,Unusually high bandwidth usage detected between internal servers,1,Sensitive Data Leak,2024-09-21 15:30:00
20,Multiple packets dropped due to suspicious activity from IP 10.0.0.1,1,Port Scanning,2024-09-21 15:35:00
21,SSL certificate expired for web service hosted on 203.0.113.20,1,Brute Force,2024-09-21 15:40:00
22,Detected ARP spoofing attempt on internal network from 192.168.10.2,0,None,2024-09-21 15:45:00
23,Detected SQL injection attempt on website query /login.php,1,Brute Force,2024-09-21 15:50:00
24,Email received with suspicious attachment from unknown source,1,Data Exfiltration,2024-09-21 15:55:00
25,Exploit attempt detected using outdated library version on web service,1,Malware,2024-09-21 16:00:00
26,Detected unauthorized software installation on company workstation,1,Brute Force,2024-09-21 16:05:00
27,Unusual outbound traffic detected from internal server to external IP 54.38.212.1,1,Worm,2024-09-21 16:10:00
28,Email received with suspicious attachment from unknown source,1,SQL Injection,2024-09-21 16:15:00
29,Detected unauthorized software installation on company workstation,1,Data Exfiltration,2024-09-21 16:20:00
30,Detected ARP spoofing attempt on internal network from 192.168.10.2,1,Ransomware,2024-09-21 16:25:00
31,Detected unauthorized software installation on company workstation,1,SSL Vulnerability,2024-09-21 16:30:00
32,Internal user attempted to access restricted file server from port 22,1,Sensitive Data Leak,2024-09-21 16:35:00
33,Unauthorized privilege escalation attempt detected on 10.0.0.3,1,ARP Spoofing,2024-09-21 16:40:00
34,Data exfiltration detected to external IP 13.55.112.122 via DNS tunneling,1,DDoS,2024-09-21 16:45:00
35,Detected SQL injection attempt on website query /login.php,1,Unauthorized Access,2024-09-21 16:50:00
36,"Critical vulnerability found in system configuration, patch required",1,SSL Vulnerability,2024-09-21 16:55:00
37,Data leakage prevention alert triggered by outbound sensitive data,1,SQL Injection,2024-09-21 17:00:00
38,Excessive port scanning activity from IP 203.0.113.42 to multiple services,1,Port Scanning,2024-09-21 17:05:00
39,Unencrypted sensitive data transmission detected from port 25 to port 587,1,Reconnaissance,2024-09-21 17:10:00
40,Malicious script execution attempt detected on /admin panel,0,None,2024-09-21 17:15:00
41,Unencrypted sensitive data transmission detected from port 25 to port 587,1,Packet Flooding,2024-09-21 17:20:00
42,Traffic spike on port 443 with unusual packet sizes from 162.243.58.60,1,Reconnaissance,2024-09-21 17:25:00
43,Unauthorized login attempt detected from 203.0.113.5 to server 198.51.100.1,1,Brute Force,2024-09-21 17:30:00
44,Unauthorized login attempt detected from 203.0.113.5 to server 198.51.100.1,1,Privilege Escalation,2024-09-21 17:35:00
45,Exploit attempt detected using outdated library version on web service,1,Privilege Escalation,2024-09-21 17:40:00
46,Unauthorized login attempt detected from 203.0.113.5 to server 198.51.100.1,1,ARP Spoofing,2024-09-21 17:45:00
47,Malicious script execution attempt detected on /admin panel,1,Ransomware,2024-09-21 17:50:00
48,Traffic spike on port 443 with unusual packet sizes from 162.243.58.60,0,None,2024-09-21 17:55:00
49,Unencrypted sensitive data transmission detected from port 25 to port 587,1,Ransomware,2024-09-21 18:00:00
50,"Incoming request on port 8080, multiple failed login attempts detected",1,Exploit,2024-09-21 18:05:00
51,Detected ARP spoofing attempt on internal network from 192.168.10.2,0,None,2024-09-21 18:10:00
52,Standard GET request on port 80 from 172.16.0.5 to 172.16.0.7,1,Exploit,2024-09-21 18:15:00
53,Standard GET request on port 80 from 172.16.0.5 to 172.16.0.7,1,Privilege Escalation,2024-09-21 18:20:00
54,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,Port Scanning,2024-09-21 18:25:00
55,Worm detected spreading through internal subnet 172.16.0.0/24,1,Insider Threat,2024-09-21 18:30:00
56,Unencrypted sensitive data transmission detected from port 25 to port 587,1,SQL Injection,2024-09-21 18:35:00
57,SSL certificate expired for web service hosted on 203.0.113.20,1,Exploit,2024-09-21 18:40:00
58,Data leakage prevention alert triggered by outbound sensitive data,1,Unauthorized Access,2024-09-21 18:45:00
59,Unusual traffic pattern detected on internal database server,1,Reconnaissance,2024-09-21 18:50:00
60,"Critical vulnerability found in system configuration, patch required",1,ARP Spoofing,2024-09-21 18:55:00
61,Data exfiltration detected to external IP 13.55.112.122 via DNS tunneling,1,Phishing,2024-09-21 19:00:00
62,Worm detected spreading through internal subnet 172.16.0.0/24,1,Ransomware,2024-09-21 19:05:00
63,Suspicious packet flooding detected from IP 172.217.15.110 to internal services,1,Ransomware,2024-09-21 19:10:00
64,Exploit attempt detected using outdated library version on web service,1,Malware,2024-09-21 19:15:00
65,SSL certificate expired for web service hosted on 203.0.113.20,1,Ransomware,2024-09-21 19:20:00
66,Standard GET request on port 80 from 172.16.0.5 to 172.16.0.7,1,SQL Injection,2024-09-21 19:25:00
67,Heavy traffic detected from 10.10.10.2 to multiple destinations (possible DDoS),1,Privilege Escalation,2024-09-21 19:30:00
68,Exploit attempt detected using outdated library version on web service,1,Phishing,2024-09-21 19:35:00
69,Email received with suspicious attachment from unknown source,1,Phishing,2024-09-21 19:40:00
70,Failed SSH login attempt from IP 45.33.32.156 with multiple retries,1,Reconnaissance,2024-09-21 19:45:00
71,Unauthorized privilege escalation attempt detected on 10.0.0.3,1,SSL Vulnerability,2024-09-21 19:50:00
72,Detected SQL injection attempt on website query /login.php,1,Packet Flooding,2024-09-21 19:55:00
73,Unusual traffic pattern detected on internal database server,1,Malware,2024-09-21 20:00:00
74,Detected unauthorized software installation on company workstation,1,Malware,2024-09-21 20:05:00
75,Normal traffic from 192.168.0.1 to 192.168.0.10 on port 443,1,Unauthorized Access,2024-09-21 20:10:00
76,Detected unauthorized software installation on company workstation,1,Worm,2024-09-21 20:15:00
77,Multiple packets dropped due to suspicious activity from IP 10.0.0.1,1,Sensitive Data Leak,2024-09-21 20:20:00
78,Unauthorized privilege escalation attempt detected on 10.0.0.3,1,Brute Force,2024-09-21 20:25:00
79,"Critical vulnerability found in system configuration, patch required",1,Insider Threat,2024-09-21 20:30:00
80,Detected SQL injection attempt on website query /login.php,1,Port Scanning,2024-09-21 20:35:00
81,Standard GET request on port 80 from 172.16.0.5 to 172.16.0.7,1,Insider Threat,2024-09-21 20:40:00
82,Unauthorized privilege escalation attempt detected on 10.0.0.3,1,Ransomware,2024-09-21 20:45:00
83,Malicious script execution attempt detected on /admin panel,1,Sensitive Data Leak,2024-09-21 20:50:00
84,Unusual outbound traffic detected from internal server to external IP 54.38.212.1,1,Phishing,2024-09-21 20:55:00
85,"Network probe detected from IP 185.86.151.11, likely reconnaissance activity",1,Data Exfiltration,2024-09-21 21:00:00
86,Normal traffic from 192.168.0.1 to 192.168.0.10 on port 443,1,ARP Spoofing,2024-09-21 21:05:00
87,Unencrypted sensitive data transmission detected from port 25 to port 587,1,DDoS,2024-09-21 21:10:00
88,Detected ARP spoofing attempt on internal network from 192.168.10.2,1,SSL Vulnerability,2024-09-21 21:15:00
89,Multiple packets dropped due to suspicious activity from IP 10.0.0.1,0,None,2024-09-21 21:20:00
90,Worm detected spreading through internal subnet 172.16.0.0/24,1,Unauthorized Access,2024-09-21 21:25:00
91,Detected SQL injection attempt on website query /login.php,1,SQL Injection,2024-09-21 21:30:00
